"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"5h03sepif3edjki32cp29ps3m4";"control";"2";"pro";"definite";100;4
"5h03sepif3edjki32cp29ps3m4";"f";"3";"front";"unfront";44;4
"5h03sepif3edjki32cp29ps3m4";"control";"3";"definite";"pro";-32;4
"5h03sepif3edjki32cp29ps3m4";"f";"2";"front";"unfront";0;4
"5h03sepif3edjki32cp29ps3m4";"f";"4";"unfront";"front";-60;4
"5h03sepif3edjki32cp29ps3m4";"f";"1";"front";"unfront";36;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"6";"dm";"no_dm";-41;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"control";"2";"pro";"definite";76;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"3";"unfront";"front";0;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"2";"front";"unfront";83;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"5";"no_dm";"dm";100;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"8";"dm";"no_dm";63;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"control";"4";"definite";"pro";21;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"control";"3";"definite";"pro";42;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"control";"1";"pro";"definite";100;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"4";"unfront";"front";-100;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"7";"no_dm";"dm";89;4
"6hmmf3j81hb37rs4b5qpbc5fh0";"f";"1";"unfront";"front";-82;4
"ffh8rhontn164jq6t527dgmp15";"control";"4";"definite";"pro";-64;4
"ffh8rhontn164jq6t527dgmp15";"f";"6";"no_dm";"dm";-71;4
"ffh8rhontn164jq6t527dgmp15";"f";"7";"dm";"no_dm";45;4
"ffh8rhontn164jq6t527dgmp15";"f";"4";"unfront";"front";-14;4
"ffh8rhontn164jq6t527dgmp15";"control";"2";"pro";"definite";-77;4
"ffh8rhontn164jq6t527dgmp15";"f";"2";"front";"unfront";36;4
"ffh8rhontn164jq6t527dgmp15";"control";"1";"pro";"definite";-68;4
"ffh8rhontn164jq6t527dgmp15";"f";"3";"front";"unfront";-31;4
"ffh8rhontn164jq6t527dgmp15";"f";"5";"dm";"no_dm";-66;4
"ffh8rhontn164jq6t527dgmp15";"control";"3";"definite";"pro";64;4
"ffh8rhontn164jq6t527dgmp15";"f";"1";"front";"unfront";-26;4
"ffh8rhontn164jq6t527dgmp15";"f";"8";"no_dm";"dm";-56;4
"7aenhil1q1g9vv3fsrk6qkum57";"control";"2";"pro";"definite";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"4";"front";"unfront";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"control";"4";"definite";"pro";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"control";"1";"pro";"definite";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"8";"no_dm";"dm";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"3";"unfront";"front";-93;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"5";"dm";"no_dm";-100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"6";"no_dm";"dm";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"1";"unfront";"front";-53;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"7";"dm";"no_dm";-100;5
"7aenhil1q1g9vv3fsrk6qkum57";"control";"3";"definite";"pro";100;5
"7aenhil1q1g9vv3fsrk6qkum57";"f";"2";"unfront";"front";-62;5
"g8j40bh36se8fvnnht8irr4t40";"f";"6";"dm";"no_dm";-91;5
"g8j40bh36se8fvnnht8irr4t40";"control";"1";"pro";"definite";100;5
"g8j40bh36se8fvnnht8irr4t40";"f";"1";"unfront";"front";58;5
"g8j40bh36se8fvnnht8irr4t40";"control";"4";"definite";"pro";92;5
"g8j40bh36se8fvnnht8irr4t40";"f";"7";"dm";"no_dm";-100;5
"g8j40bh36se8fvnnht8irr4t40";"f";"3";"front";"unfront";100;5
"g8j40bh36se8fvnnht8irr4t40";"f";"2";"front";"unfront";82;5
"g8j40bh36se8fvnnht8irr4t40";"control";"3";"definite";"pro";94;5
"g8j40bh36se8fvnnht8irr4t40";"f";"8";"dm";"no_dm";-100;5
"g8j40bh36se8fvnnht8irr4t40";"f";"4";"front";"unfront";86;5
"g8j40bh36se8fvnnht8irr4t40";"f";"5";"no_dm";"dm";78;5
"g8j40bh36se8fvnnht8irr4t40";"control";"2";"pro";"definite";95;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"4";"unfront";"front";100;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"control";"4";"definite";"pro";100;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"control";"3";"definite";"pro";100;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"control";"2";"pro";"definite";43;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"2";"front";"unfront";46;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"1";"front";"unfront";-50;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"6";"no_dm";"dm";32;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"7";"dm";"no_dm";-42;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"3";"front";"unfront";-53;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"control";"1";"pro";"definite";0;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"5";"dm";"no_dm";-80;5
"m5pfhsacu1vnhnrg0j03v6rmd6";"f";"8";"dm";"no_dm";24;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"1";"front";"unfront";-100;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"4";"unfront";"front";-75;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"7";"no_dm";"dm";85;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"8";"no_dm";"dm";93;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"3";"unfront";"front";-100;5
"nvrsn88qnng7v1ieqtvd1650f3";"control";"1";"pro";"definite";9;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"6";"no_dm";"dm";50;5
"nvrsn88qnng7v1ieqtvd1650f3";"control";"4";"definite";"pro";75;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"2";"unfront";"front";87;5
"nvrsn88qnng7v1ieqtvd1650f3";"f";"5";"dm";"no_dm";-76;5
"nvrsn88qnng7v1ieqtvd1650f3";"control";"2";"pro";"definite";57;5
"nvrsn88qnng7v1ieqtvd1650f3";"control";"3";"definite";"pro";-44;5
"0a9nvsk01k1ah6pn68665iqjs2";"f";"8";"no_dm";"dm";62;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"1";"unfront";"front";-66;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"5";"no_dm";"dm";86;6
"0a9nvsk01k1ah6pn68665iqjs2";"control";"2";"pro";"definite";36;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"7";"dm";"no_dm";-81;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"4";"unfront";"front";-9;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"6";"dm";"no_dm";-57;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"2";"unfront";"front";34;6
"0a9nvsk01k1ah6pn68665iqjs2";"control";"1";"pro";"definite";53;6
"0a9nvsk01k1ah6pn68665iqjs2";"control";"4";"definite";"pro";35;6
"0a9nvsk01k1ah6pn68665iqjs2";"control";"3";"definite";"pro";66;6
"0a9nvsk01k1ah6pn68665iqjs2";"f";"3";"front";"unfront";-20;6
"7omrik6mtj94f17s6agclcbbq4";"f";"5";"dm";"no_dm";-100;6
"7omrik6mtj94f17s6agclcbbq4";"f";"3";"unfront";"front";-41;6
"7omrik6mtj94f17s6agclcbbq4";"control";"1";"pro";"definite";100;6
"7omrik6mtj94f17s6agclcbbq4";"f";"1";"unfront";"front";23;6
"7omrik6mtj94f17s6agclcbbq4";"control";"3";"definite";"pro";48;6
"7omrik6mtj94f17s6agclcbbq4";"control";"4";"definite";"pro";63;6
"7omrik6mtj94f17s6agclcbbq4";"control";"2";"pro";"definite";100;6
"7omrik6mtj94f17s6agclcbbq4";"f";"4";"unfront";"front";-41;6
"7omrik6mtj94f17s6agclcbbq4";"f";"8";"dm";"no_dm";-100;6
"7omrik6mtj94f17s6agclcbbq4";"f";"2";"unfront";"front";64;6
"7omrik6mtj94f17s6agclcbbq4";"f";"7";"no_dm";"dm";53;6
"7omrik6mtj94f17s6agclcbbq4";"f";"6";"no_dm";"dm";-20;6
"q88j2gujqh13i1dmpjo7v2nfi7";"control";"1";"pro";"definite";40;6
"q88j2gujqh13i1dmpjo7v2nfi7";"control";"3";"definite";"pro";-57;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"7";"dm";"no_dm";-45;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"3";"front";"unfront";28;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"2";"unfront";"front";-52;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"4";"front";"unfront";37;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"1";"front";"unfront";48;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"5";"dm";"no_dm";-63;6
"q88j2gujqh13i1dmpjo7v2nfi7";"control";"4";"definite";"pro";54;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"8";"no_dm";"dm";44;6
"q88j2gujqh13i1dmpjo7v2nfi7";"control";"2";"pro";"definite";44;6
"q88j2gujqh13i1dmpjo7v2nfi7";"f";"6";"no_dm";"dm";46;6
"trivl1cqo8gr4oa5t1menceid6";"f";"8";"dm";"no_dm";-100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"2";"front";"unfront";100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"1";"unfront";"front";-100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"6";"no_dm";"dm";-100;6
"trivl1cqo8gr4oa5t1menceid6";"control";"2";"pro";"definite";100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"7";"no_dm";"dm";100;6
"trivl1cqo8gr4oa5t1menceid6";"control";"4";"definite";"pro";-100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"3";"front";"unfront";60;6
"trivl1cqo8gr4oa5t1menceid6";"control";"1";"pro";"definite";100;6
"trivl1cqo8gr4oa5t1menceid6";"control";"3";"definite";"pro";100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"4";"unfront";"front";-100;6
"trivl1cqo8gr4oa5t1menceid6";"f";"5";"no_dm";"dm";78;6
"eiv5156p7pjfvsea8rmvsbqua6";"control";"4";"definite";"pro";85;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"5";"no_dm";"dm";100;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"6";"no_dm";"dm";100;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"8";"no_dm";"dm";83;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"4";"front";"unfront";96;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"1";"unfront";"front";85;7
"eiv5156p7pjfvsea8rmvsbqua6";"control";"1";"pro";"definite";95;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"3";"front";"unfront";38;7
"eiv5156p7pjfvsea8rmvsbqua6";"control";"2";"pro";"definite";85;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"7";"no_dm";"dm";94;7
"eiv5156p7pjfvsea8rmvsbqua6";"f";"2";"unfront";"front";-42;7
"eiv5156p7pjfvsea8rmvsbqua6";"control";"3";"definite";"pro";59;7
"huatpa83vvamuuckd4qvprh5r3";"f";"5";"dm";"no_dm";-100;7
"huatpa83vvamuuckd4qvprh5r3";"control";"2";"pro";"definite";100;7
"huatpa83vvamuuckd4qvprh5r3";"f";"3";"front";"unfront";55;7
"huatpa83vvamuuckd4qvprh5r3";"f";"6";"no_dm";"dm";70;7
"huatpa83vvamuuckd4qvprh5r3";"f";"4";"front";"unfront";100;7
"huatpa83vvamuuckd4qvprh5r3";"f";"7";"no_dm";"dm";100;7
"huatpa83vvamuuckd4qvprh5r3";"control";"4";"definite";"pro";52;7
"huatpa83vvamuuckd4qvprh5r3";"control";"1";"pro";"definite";71;7
"huatpa83vvamuuckd4qvprh5r3";"f";"8";"dm";"no_dm";-1;7
"huatpa83vvamuuckd4qvprh5r3";"control";"3";"definite";"pro";57;7
"huatpa83vvamuuckd4qvprh5r3";"f";"1";"front";"unfront";46;7
"huatpa83vvamuuckd4qvprh5r3";"f";"2";"unfront";"front";39;7
"plri9c3jmjfn41263mceg22r44";"f";"5";"no_dm";"dm";66;7
"plri9c3jmjfn41263mceg22r44";"control";"2";"pro";"definite";45;7
"plri9c3jmjfn41263mceg22r44";"f";"4";"front";"unfront";68;7
"plri9c3jmjfn41263mceg22r44";"f";"7";"no_dm";"dm";87;7
"plri9c3jmjfn41263mceg22r44";"f";"3";"unfront";"front";-31;7
"plri9c3jmjfn41263mceg22r44";"control";"1";"pro";"definite";100;7
"plri9c3jmjfn41263mceg22r44";"control";"4";"definite";"pro";32;7
"plri9c3jmjfn41263mceg22r44";"f";"8";"no_dm";"dm";-16;7
"plri9c3jmjfn41263mceg22r44";"f";"1";"unfront";"front";-55;7
"plri9c3jmjfn41263mceg22r44";"f";"6";"dm";"no_dm";-58;7
"plri9c3jmjfn41263mceg22r44";"control";"3";"definite";"pro";75;7
"plri9c3jmjfn41263mceg22r44";"f";"2";"unfront";"front";-30;7
"sshvtg9u6batiqf9g5hf9f1c67";"f";"6";"dm";"no_dm";-100;7
"sshvtg9u6batiqf9g5hf9f1c67";"f";"7";"dm";"no_dm";-100;7
"sshvtg9u6batiqf9g5hf9f1c67";"f";"1";"unfront";"front";-100;7
"sshvtg9u6batiqf9g5hf9f1c67";"f";"8";"dm";"no_dm";-54;7
"sshvtg9u6batiqf9g5hf9f1c67";"control";"4";"definite";"pro";-60;7
"sshvtg9u6batiqf9g5hf9f1c67";"control";"3";"definite";"pro";100;7
"sshvtg9u6batiqf9g5hf9f1c67";"control";"2";"pro";"definite";100;7
"sshvtg9u6batiqf9g5hf9f1c67";"f";"3";"front";"unfront";100;7
