"id";"target_no";"cond_c";"cond_q";"expec";"list"
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f3";"q2";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f9";"q2";"40";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f13";"q3";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f7";"q5";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f14";"q1";"83";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f8";"q5";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f10";"q3";"0";1
"551u44521pgierr42jpf496ck6";NA;"f12";"q1";"72";1
"551u44521pgierr42jpf496ck6";NA;"f5";"q4";"44";1
"551u44521pgierr42jpf496ck6";NA;"f14";"q4";"0";1
"551u44521pgierr42jpf496ck6";NA;"f3";"q2";"85";1
"551u44521pgierr42jpf496ck6";NA;"f4";"q5";"74";1
"551u44521pgierr42jpf496ck6";NA;"f6";"q1";"50";1
"551u44521pgierr42jpf496ck6";NA;"f8";"q5";"0";1
"551u44521pgierr42jpf496ck6";NA;"f13";"q5";"0";1
"551u44521pgierr42jpf496ck6";NA;"f10";"q2";"19";1
"551u44521pgierr42jpf496ck6";NA;"f9";"q3";"68";1
"551u44521pgierr42jpf496ck6";NA;"f7";"q5";"34";1
"551u44521pgierr42jpf496ck6";NA;"f1";"q5";"7";1
"551u44521pgierr42jpf496ck6";NA;"f11";"q3";"29";1
"551u44521pgierr42jpf496ck6";NA;"f2";"q4";"86";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f7";"q1";"43";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f8";"q1";"62";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f9";"q5";"21";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f2";"q5";"64";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f4";"q4";"11";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f13";"q3";"19";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f3";"q3";"73";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f11";"q4";"57";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f1";"q5";"29";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f14";"q5";"1";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f6";"q4";"25";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f5";"q5";"7";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f12";"q2";"51";1
"6g6n9s01i9p4lhbdsef64jlko4";NA;"f10";"q2";"8";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f13";"q3";"21";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f5";"q1";"71";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f9";"q1";"94";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f11";"q2";"96";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f6";"q1";"87";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f3";"q2";"92";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f8";"q1";"80";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f10";"q1";"96";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f4";"q4";"28";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f14";"q4";"0";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f7";"q3";"3";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f12";"q5";"0";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f1";"q4";"80";1
"7ckqhvtkr1kmasamose48u0ej1";NA;"f2";"q2";"52";1
"81s8bmniice3gudc6klob82f35";NA;"f9";"q3";"80";1
"81s8bmniice3gudc6klob82f35";NA;"f4";"q4";"6";1
"81s8bmniice3gudc6klob82f35";NA;"f6";"q4";"3";1
"81s8bmniice3gudc6klob82f35";NA;"f1";"q2";"63";1
"81s8bmniice3gudc6klob82f35";NA;"f7";"q2";"45";1
"81s8bmniice3gudc6klob82f35";NA;"f5";"q2";"4";1
"81s8bmniice3gudc6klob82f35";NA;"f8";"q5";"1";1
"81s8bmniice3gudc6klob82f35";NA;"f2";"q4";"83";1
"81s8bmniice3gudc6klob82f35";NA;"f14";"q3";"1";1
"81s8bmniice3gudc6klob82f35";NA;"f13";"q5";"1";1
"81s8bmniice3gudc6klob82f35";NA;"f11";"q5";"2";1
"81s8bmniice3gudc6klob82f35";NA;"f3";"q5";"1";1
"81s8bmniice3gudc6klob82f35";NA;"f10";"q1";"82";1
"81s8bmniice3gudc6klob82f35";NA;"f12";"q5";"1";1
"8vesmri85lve8du7f2isgk97p5";NA;"f7";"q5";"21";1
"8vesmri85lve8du7f2isgk97p5";NA;"f4";"q4";"0";1
"8vesmri85lve8du7f2isgk97p5";NA;"f3";"q4";"0";1
"8vesmri85lve8du7f2isgk97p5";NA;"f5";"q1";"28";1
"8vesmri85lve8du7f2isgk97p5";NA;"f2";"q2";"88";1
"8vesmri85lve8du7f2isgk97p5";NA;"f14";"q3";"0";1
"8vesmri85lve8du7f2isgk97p5";NA;"f11";"q4";"0";1
"8vesmri85lve8du7f2isgk97p5";NA;"f1";"q3";"22";1
"8vesmri85lve8du7f2isgk97p5";NA;"f10";"q1";"1";1
"8vesmri85lve8du7f2isgk97p5";NA;"f12";"q1";"93";1
"8vesmri85lve8du7f2isgk97p5";NA;"f13";"q4";"68";1
"8vesmri85lve8du7f2isgk97p5";NA;"f6";"q5";"92";1
"8vesmri85lve8du7f2isgk97p5";NA;"f9";"q2";"100";1
"8vesmri85lve8du7f2isgk97p5";NA;"f8";"q4";"47";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f13";"q1";"85";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f8";"q1";"62";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f10";"q5";"75";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f4";"q2";"20";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f6";"q2";"65";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f3";"q1";"64";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f9";"q1";"68";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f12";"q5";"11";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f14";"q1";"73";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f2";"q5";"71";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f1";"q3";"69";1
