"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"m5su4sauq2hvnht5gdgavpv9a3";"f";"7";"no_dm";"dm";50;1
"m5su4sauq2hvnht5gdgavpv9a3";"control";"4";"definite";"pro";84;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"3";"unfront";"front";-28;1
"m5su4sauq2hvnht5gdgavpv9a3";"control";"1";"definite";"pro";-66;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"1";"front";"unfront";100;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"8";"dm";"no_dm";-48;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"5";"dm";"no_dm";-54;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"2";"unfront";"front";-42;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"4";"unfront";"front";-100;1
"m5su4sauq2hvnht5gdgavpv9a3";"control";"3";"definite";"pro";-45;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"1";"unfront";"front";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"control";"4";"definite";"pro";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"7";"dm";"no_dm";-100;1
"n2o7pmiuq0nou5gnf39r877cd6";"control";"1";"definite";"pro";-100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"6";"no_dm";"dm";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"2";"unfront";"front";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"5";"dm";"no_dm";-100;1
"n2o7pmiuq0nou5gnf39r877cd6";"control";"2";"definite";"pro";-37;1
"n2o7pmiuq0nou5gnf39r877cd6";"control";"3";"definite";"pro";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"3";"front";"unfront";100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"8";"dm";"no_dm";-100;1
"n2o7pmiuq0nou5gnf39r877cd6";"f";"4";"unfront";"front";100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"1";"front";"unfront";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"6";"no_dm";"dm";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"control";"4";"definite";"pro";100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"3";"unfront";"front";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"control";"1";"definite";"pro";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"4";"unfront";"front";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"2";"unfront";"front";100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"8";"dm";"no_dm";-84;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"control";"2";"definite";"pro";-100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"control";"3";"definite";"pro";100;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"7";"dm";"no_dm";-58;1
"tv8s7oqtkrgni7up3lrhbt3ne2";"f";"5";"no_dm";"dm";59;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"5";"no_dm";"dm";100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"control";"4";"definite";"pro";100;1
